year	value	editor	editDate	source
1998	24	DR	2025-08-23	https://journals.aps.org/search/results?journal=prab&journal=prstab&start_date=1998-01-01&end_date=1998-12-31
1999	48	DR	2025-08-23	https://journals.aps.org/search/results?journal=prab&journal=prstab&start_date=1998-01-01&end_date=1998-12-31
2000	70	DR	2025-08-23	https://journals.aps.org/search/results?journal=prstab&journal=prab&start_date=2000-01-01&end_date=2000-12-31
2001	75	DR	2025-08-23	https://journals.aps.org/search/results?journal=prstab&journal=prab&start_date=2001-01-01&end_date=2001-12-31
2002	91	DR	2025-08-23	https://journals.aps.org/search/results?journal=prstab&journal=prab&start_date=2002-01-01&end_date=2002-12-31
2003	106	DR	2025-08-23	https://journals.aps.org/search/results?journal=prstab&journal=prab&start_date=2003-01-01&end_date=2003-12-31
2004	116	DR	2025-08-23	https://journals.aps.org/search/results?journal=prstab&journal=prab&start_date=2004-01-01&end_date=2004-12-31
2005	124	DR	2025-08-23	https://journals.aps.org/search/results?journal=prstab&journal=prab&start_date=2005-01-01&end_date=2005-12-31
2006	142	DR	2025-08-23	https://journals.aps.org/search/results?journal=prstab&journal=prab&start_date=2006-01-01&end_date=2006-12-31
2007	138	DR	2025-08-23	https://journals.aps.org/search/results?journal=prstab&journal=prab&start_date=2007-01-01&enx^d_date=2007-12-31
2008	144	DR	2025-08-23	https://journals.aps.org/search/results?journal=prstab&journal=prab&start_date=2008-01-01&end_date=2008-12-31
2009	179	DR	2025-08-23	https://journals.aps.org/search/results?journal=prstab&journal=prab&start_date=2009-01-01&end_date=2009-12-31
2010	163	DR	2025-08-23	https://journals.aps.org/search/results?journal=prstab&journal=prab&start_date=2010-01-01&end_date=2010-12-31
2011	197	DR	2025-08-23	https://journals.aps.org/search/results?journal=prstab&journal=prab&start_date=2011-01-01&end_date=2011-12-31
2012	190	DR	2025-08-23	https://journals.aps.org/search/results?journal=prstab&journal=prab&start_date=2012-01-01&end_date=2012-12-31
2013	188	DR	2025-08-23	https://journals.aps.org/search/results?journal=prstab&journal=prab&start_date=2013-01-01&end_date=2013-12-31
2014	216	DR	2025-08-23	https://journals.aps.org/search/results?journal=prstab&journal=prab&start_date=2014-01-01&end_date=2014-12-31
2015	189	DR	2025-08-23	https://journals.aps.org/search/results?journal=prstab&journal=prab&start_date=2015-01-01&end_date=2015-12-31
2016	207	DR	2025-08-23	https://journals.aps.org/search/results?journal=prstab&journal=prab&start_date=2016-01-01&end_date=2016-12-31
2017	224	DR	2025-08-23	https://journals.aps.org/search/results?journal=prstab&journal=prab&start_date=2017-01-01&end_date=2017-12-31
2018	206	DR	2025-08-23	https://journals.aps.org/search/results?journal=prstab&journal=prab&start_date=2018-01-01&end_date=2018-12-31
2019	278	DR	2025-08-23	https://journals.aps.org/search/results?journal=prstab&journal=prab&start_date=2019-01-01&end_date=2019-12-31
2020	260	DR	2025-08-23	https://journals.aps.org/search/results?journal=prstab&journal=prab&start_date=2020-01-01&end_date=2020-12-31
2021	210	DR	2025-08-23	https://journals.aps.org/search/results?journal=prstab&journal=prab&start_date=2021-01-01&end_date=2021-12-31
2022	181	DR	2025-08-23	https://journals.aps.org/search/results?journal=prstab&journal=prab&start_date=2022-01-01&end_date=2022-12-31
2023	150	DR	2025-08-23	https://journals.aps.org/search/results?journal=prstab&journal=prab&start_date=2023-01-01&end_date=2023-12-31
2024	181	DR	2025-08-23	https://journals.aps.org/search/results?journal=prstab&journal=prab&start_date=2024-01-01&end_date=2024-12-31
