id,review.status__id,review.reviewer__contactsId,review.log,tagLine.de,tagLine.en,label.de,label.en,definition.de,definition.en,partOf__id,employsAcceleratorTypes,instanceOf__taxonomyId,parameters.primaryBeamParticles,parameters.secondaryBeamParticles,lifeCycle.currentStatus__taxonomyId,lifeCycle.operation.startYear,lifeCycle.operation.endYear,host__organizationsId,isBMBF_FIS,primaryApplications__taxonomyId,secondaryApplications__taxonomyId,links.homepage.de,links.homepage.en,researchAgenda.path,researchAgenda.layoutGroup,researchAgenda.topics,researchAgenda.objectives,cost.realization__euro,parameters.length__m,parameters.E0__eV,parameters.E1__eV,parameters.srPowerLoss__W,cost.operation__euroPerYear,parameters.luminosity,parameters.repetitionRate__Hz,parameters.pulseDuration__s,parameters.magneticField__T,parameters.cmEnergy__eV,parameters.electricGradient__V_m,parameters.events__Hz,isUserFacility,parameters.emittance__mrad,references,parameters.powerConsumption__W,hasWorkingGroups,lifeCycle.design.startYear,lifeCycle.realization.startYear,parameters.peakBrilliance,parameters.averageBrilliance,cost.realization__inflationReferenceYear,cost.operation__inflationReferenceYear,successorOf__id,hasParts__id,hasPredecessor__id
athena,02: prereview request,,,Helmholtz-ARD Testanlagen für Plasmabeschleunigung,Helmholtz-ARD distributed test facility for plasma acceleration,ATHENA,ATHENA,"Mit ATHENA bündelt die Helmholtz-Gemeinschaft die Beschleuniger-Expertise von sechs ihrer 18 Forschungseinrichtungen. Diese tragen ihre wissenschaftlichen Erkenntnisse zusammen, um kompakte und innovative Plasmabeschleuniger in zwei deutschen Leuchtturmprojekten aufzubauen. Am DESY in Hamburg soll dafür ein Elektronen- und am Helmholtz-Zentrum Dresden-Rossendorf ein Hadronenbeschleuniger entwickelt werden. Mit JuSPARC trägt Jülich dabei Erkenntnisse für das Feld der Elektronenbeschleunigung bei.","With ATHENA, the Helmholtz Association is bundling the accelerator expertise of seven of its 18 research institutions. They are pooling their scientific knowledge to build compact and innovative plasma accelerators in two German lighthouse projects. An electron accelerator is to be developed at DESY in Hamburg and a hadron accelerator at the Helmholtz Centre Dresden-Rossendorf. With JuSPARC, Jülich is contributing findings to the field of electron acceleration.",,,befidesh/facility/facility-complex/,,,,2018,,,false,befidesh/accelerator-application/science-application/accelerator-research,,,,,test-facilities,"materials.sensor-materials,ultracompact.laser-plasma-injector,ultracompact.laser-plasma-accelerator,beam-modeling.ultra-short-pulses",,,,,,,,,,,,,,,false,,,,,,,,,,,,athena/sinbad,
berlinpro,01: preparation,,,Berliner Energierückgewinnung LINac PROjekt,Berlin Energy Recovery LINac PROject,bERLinPro,bERLinPro,Testanlage zur Elektronenbeschleunigung mit hohen Strömen im Dauerstrichbetrieb und mit Energierückgewinnung auf der Basis von supraleitenden Hohlräumen,Testanlage zur Elektronenbeschleunigung mit hohen Strömen im Dauerstrichbetrieb und mit Energierückgewinnung auf der Basis von supraleitenden Hohlräumen,,befidesh/accelerator/microtron,befidesh/accelerator/erl,leptons / electrons,,befidesh/facility-life-cycle/4.2.2_decommissioned,2021,,hzb,false,befidesh/accelerator-application/science-application/accelerator-research,,,,accelerator-science.accelerators.berlinpro,test-facilities,"materials.high-frequency-resonators,measurement-and-control.high-resolution-diagnostics,energy-supply.erl",facility.energy-efficiency,,,,,,,,,,,,,,false,,,,,,,,,,,,,
kit-atp/flute,02: prereview request,,,Linear-Beschleuniger-Testanlage,Linear Accelerator Test Facility,FLUTE,FLUTE,"Elektronenbeschleuniger zur Erzeugung ultrakurzer Elektronenpakete, der aus einem femtosekundenlaser-getriebenen Photoinjektor, einem Linearbeschleuniger und einem Elektronenpakete-Kompressor besteht. FLUTE steht für Ferninfrarot Linac- und Test-Experiment.","Elektronenbeschleuniger zur Erzeugung ultrakurzer Elektronenpakete, der aus einem femtosekundenlaser-getriebenen Photoinjektor, einem Linearbeschleuniger und einem Elektronenpakete-Kompressor besteht.",kit-atp,befidesh/accelerator/linear-accelerator/,befidesh/facility/,leptons / electrons,,befidesh/facility-life-cycle/3.1_operation,2021,,kit,false,befidesh/accelerator-application/science-application/accelerator-research,,,,accelerator-science.accelerators.flute,test-facilities,"materials.high-temperature-superconductivity,beam-modeling.ultra-short-pulses,beam-modeling.s2e-fel-simulation,beam-modeling.machine-learning,measurement-and-control.high-resolution-diagnostics,measurement-and-control.machine-learning,measurement-and-control.high-precision-control",,,,,,,,,,,,,,,false,,,,,,,,,,,,,
juSPARC,01: preparation,,,Jülicher Zentrum für kurzgepulste Teilchen und Strahlung,Jülich Short-Pulsed Particle and Radiation Center,JuSPARC,JuSPARC,Laserbasierte Testanlage für Beschleunigerforschung mit kurzgepulsten Photonen- und Teilchenstrahlen,Laser-based test facility for accelerator research with short-pulsed photon and particle beams,,,befidesh/facility/laser-facility,,,befidesh/facility-life-cycle/3.1_operation,2019,,fz-juelich,false,,,,,,,,,,,,,,,,,,,,,,false,,buscher_etal__2020__jusparc_julich_shortpulsed,,,,,,,,,,"juSPARC/vega, juSPARC/sirius, juSPARC/mira",
juSPARC/vega,01: preparation,,,JuSPARC MIRA,JuSPARC MIRA,JuSPARC MIRA,JuSPARC MIRA,,,juSPARC,,befidesh/facility/laser-facility,photons,,befidesh/facility-life-cycle/3.1_operation,2019,,fz-juelich,false,,,,,,,,,,,,,,,,,,,,,,false,,buscher_etal__2020__jusparc_julich_shortpulsed,,,,,,,,,,,
juSPARC/sirius,01: preparation,,,JuSPARC SIRIUS,JuSPARC SIRIUS,JuSPARC SIRIUS,JuSPARC SIRIUS,,,juSPARC,,befidesh/facility/laser-facility,photons,,befidesh/facility-life-cycle/3.1_operation,,,fz-juelich,false,,,,,,,,,,,,,,,,,,,,,,false,,buscher_etal__2020__jusparc_julich_shortpulsed,,,,,,,,,,,
athena/sinbad,01: preparation,,,Kurze innovative Teilchenpakete und Beschleuniger bei DESY,Short INnovative Bunches and Accelerators at DESY,SINBAD,SINBAD,,,athena,,befidesh/facility/facility-complex/,,,befidesh/facility-life-cycle/3.1_operation,2002,,desy,false,befidesh/accelerator-application/science-application/accelerator-research,,,,accelerator-science.sinbad,,,,,,,,,,,,,,,,,false,,,,,,,,,,,,"athena/sinbad/ares, athena/sinbad/axsis",
athena/sinbad/ares,01: preparation,,,Beschleuniger-Forschungsexperiment bei SINBAD,Accelerator Research Experiment at SINBAD,ARES,ARES,"Linearbeschleuniger zur Erzeugung ultrakurzer Elektronenpakete. Teil von SINBAD bei DESY. Das Ziel von ARES ist es, ultrakurze Elektronenpakete mit geringer Ladung (0,2 - 50 pC) und hoher Ankunftszeitstabilität (weniger als 10 fs) für verschiedene Anwendungen zu erzeugen, z.B. für die externe Injektion zur Beschleunigung von Laserplasma-wakefieldss [2]. Die Grundkonzeption des Beschleunigers sieht einen S-Band-Photoinjektor vor, der Elektronenpakete mit geringer Ladung durch Geschwindigkeits-Bündelung komprimiert und auf 100 MeV Energie beschleunigt.","Linearbeschleuniger zur Erzeugung ultrakurzer Elektronenpakete. Teil von SINBAD bei DESY. Das Ziel von ARES ist es, ultrakurze Elektronenpakete mit geringer Ladung (0,2 - 50 pC) und hoher Ankunftszeitstabilität (weniger als 10 fs) für verschiedene Anwendungen zu erzeugen, z.B. für die externe Injektion zur Beschleunigung von Laserplasma-wakefieldss [2]. Die Grundkonzeption des Beschleunigers sieht einen S-Band-Photoinjektor vor, der Elektronenpakete mit geringer Ladung durch Geschwindigkeits-Bündelung komprimiert und auf 100 MeV Energie beschleunigt.",athena/sinbad,befidesh/accelerator/linear-accelerator/,befidesh/accelerator/linear-accelerator/,leptons / electrons,,befidesh/facility-life-cycle/3.1_operation,2020,,desy,false,befidesh/accelerator-application/science-application/accelerator-research,,,,accelerator-science.accelerators.ares,test-facilities,"ultracompact.laser-plasma-accelerator,beam-modeling.ultra-short-pulses,beam-modeling.s2e-fel-simulation,beam-modeling.machine-learning,measurement-and-control.machine-learning",,,,,,,,,,,,,,,false,,,,,,,,,,,,,
athena/sinbad/axsis,01: preparation,,,"Attosekunden-Röntgenforschung, Bildgebung und Spektroskopie","Attosecond X-ray Science, Imaging and Spectroscopy",AXSIS,AXSIS,15 MeV-Elektronenbeschleuniger auf der Grundlage von THz-Wellen in dielektrischen Wellenleitern,15 MeV-Elektronenbeschleuniger auf der Grundlage von THz-Wellen in dielektrischen Wellenleitern,athena/sinbad,,befidesh/accelerator/linear-accelerator/,leptons / electrons,,befidesh/facility-life-cycle/3.1_operation,2017,,desy,false,befidesh/accelerator-application/science-application/accelerator-research,,,,accelerator-science.accelerators.ares,test-facilities,,,,,,,,,,,,,,,,false,,,,,,,,,,,,,
berlin-protonen,01: preparation,,,Protonentherapie von Augentumoren,Proton therapy for eye tumors,BerlinProtonen,BerlinProtonen,"BerlinProtonen ist eine auf die Behandlung von Augentumoren spezialisierte Protonentherapieanlage, die gemeinsam vom Helmholtz-Zentrum Berlin (HZB) und der Charité betrieben wird. Protonenstrahlen mit einer Energie von 68 MeV werden eingesetzt, um Augentumore gezielt zu zerstören und dabei das umliegende gesunde Gewebe zu schonen. Die Erfolgsquote bei der Zerstörung von Augentumoren liegt bei über 97 Prozent. In den meisten Fällen wird das Auge nicht nur gerettet, sondern es bleibt auch ein zufriedenstellendes Sehvermögen erhalten. Seit 1998 wurden in der Einrichtung mehr als 3 700 Patienten behandelt.","BerlinProtonen is a proton therapy facility specialising in the treatment of eye tumours, operated jointly by Helmholtz-Zentrum Berlin (HZB) and Charité. Proton beams with an energy of 68 MeV are used to precisely target and destroy eye tumours while sparing surrounding healthy tissue. The treatment has a success rate of over 97% in destroying eye tumours. In most cases, the eye is not only saved, but a satisfactory level of vision is maintained. More than 3,700 patients have been treated at the facility since 1998.",,,befidesh/facility/accelerator-based-facility/medical-facility/beam-therapy/proton-beam-therapy,ions / protons,,befidesh/facility-life-cycle/3.1_operation,1998,,hzb,false,befidesh/accelerator-application/medical-application/,,,,,user-facilities,,,,,,,,,,,,,,,,true,,,,,,,,,,,,"berlin-protonen/02-sector-cyclotron, berlin-protonen/01-preaccelerator",
