id,parent__id,topLevel__id,partOfCommunityDegree,instanceOfs__taxonomyID,isFormalOrganization,isResearchInstitution,isUniversity,isWorkingGroup,isDepartment,befideOrganizationCategories,label.fullName.de,label.fullName.en,label.short.de,label.short.en,tagline.en,tagline.de,description.de,description.en,hasHeads.literal,hasHeads.contact__contactsIDs,location.country.code,location.city,location.coords.lat,location.coords.lng,links.homepage.de,links.homepage.en,links.rorId,uniquePeopleCount.professor.physicist.female,uniquePeopleCount.professor.physicist.male,uniquePeopleCount.professor.physicist.nonbinary,uniquePeopleCount.professor.engineer.female,uniquePeopleCount.professor.engineer.male,uniquePeopleCount.professor.engineer.nonbinary,uniquePeopleCount.professor.other.female,uniquePeopleCount.professor.other.male,uniquePeopleCount.professor.other.nonbinary,uniquePeopleCount.seniorResearcher.physicist.female,uniquePeopleCount.seniorResearcher.physicist.nonbinary,uniquePeopleCount.seniorResearcher.physicist.male,uniquePeopleCount.seniorResearcher.other.female,uniquePeopleCount.seniorResearcher.other.nonbinary,uniquePeopleCount.seniorResearcher.other.male,uniquePeopleCount.seniorResearcher.engineer.nonbinary,uniquePeopleCount.seniorResearcher.engineer.male,uniquePeopleCount.seniorResearcher.engineer.female,uniquePeopleCount.postDoc.physicist.female,uniquePeopleCount.postDoc.physicist.nonbinary,uniquePeopleCount.postDoc.physicist.male,uniquePeopleCount.postDoc.other.nonbinary,uniquePeopleCount.postDoc.other.male,uniquePeopleCount.postDoc.other.female,uniquePeopleCount.postDoc.engineer.nonbinary,uniquePeopleCount.postDoc.engineer.male,uniquePeopleCount.postDoc.engineer.female,uniquePeopleCount.phdStudent.physicist.female,uniquePeopleCount.phdStudent.physicist.nonbinary,uniquePeopleCount.phdStudent.physicist.male,uniquePeopleCount.phdStudent.other.nonbinary,uniquePeopleCount.phdStudent.other.male,uniquePeopleCount.phdStudent.other.female,uniquePeopleCount.phdStudent.engineer.nonbinary,uniquePeopleCount.phdStudent.engineer.male,uniquePeopleCount.phdStudent.engineer.female,uniquePeopleCount.masterStudent.physicist.female,uniquePeopleCount.masterStudent.physicist.nonbinary,uniquePeopleCount.masterStudent.physicist.male,uniquePeopleCount.masterStudent.other.nonbinary,uniquePeopleCount.masterStudent.other.male,uniquePeopleCount.masterStudent.other.female,uniquePeopleCount.masterStudent.engineer.nonbinary,uniquePeopleCount.masterStudent.engineer.male,uniquePeopleCount.masterStudent.engineer.female,uniquePeopleCount.bachelorStudent.physicist.female,uniquePeopleCount.bachelorStudent.physicist.nonbinary,uniquePeopleCount.bachelorStudent.physicist.male,uniquePeopleCount.bachelorStudent.other.nonbinary,uniquePeopleCount.bachelorStudent.other.male,uniquePeopleCount.bachelorStudent.other.female,uniquePeopleCount.bachelorStudent.engineer.male,uniquePeopleCount.bachelorStudent.engineer.nonbinary,uniquePeopleCount.bachelorStudent.engineer.female,uniquePeopleCountSum.female,uniquePeopleCountSum.male,uniquePeopleCountSum.nonbinary,uniquePeopleCountSum.physicist,uniquePeopleCountSum.engineer,uniquePeopleCountSum.total,uniquePeopleCountSum.other,uniquePeopleCountSum.professor,uniquePeopleCountSum.seniorResearcher,uniquePeopleCountSum.postDoc,uniquePeopleCountSum.phdStudent,uniquePeopleCountSum.masterStudent,uniquePeopleCountSum.bachelorStudent,uniquePeopleCountRecursiveSum.total,uniquePeopleCountRecursiveSum.professor,uniquePeopleCountRecursiveSum.seniorResearcher,uniquePeopleCountRecursiveSum.postDoc,uniquePeopleCountRecursiveSum.phdStudent,uniquePeopleCountRecursiveSum.masterStudent,uniquePeopleCountRecursiveSum.bachelorStudent,uniquePeopleCountRecursiveSum.physicist,uniquePeopleCountRecursiveSum.engineer,uniquePeopleCountRecursiveSum.other,uniquePeopleCountRecursiveSum.female,uniquePeopleCountRecursiveSum.male,uniquePeopleCountRecursiveSum.nonbinary,review.status__id,review.log,review.reviewer__contactsID
bmbf,,,none,"g/organization/funding-orgainzation,g/organization/formal-organization",true,false,false,false,false,funder,Bundesministerium für Bildung und Forschung,German Federal Ministry Of Education And Research ,BMBF,BMBF,<to be set>,<to be translated>,,,"","",DE,Bonn,50.863242,7.071315,https://www.bmbf.de/DE,https://www.bmbf.de/EN,https://ror.org/04pz7b180,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,,,,,,,,,,,01: preparation,,
cern,community,,partial,"g/organization/research-institution,g/organization/formal-organization",true,true,false,false,false,international,Europäische Organisation für Kernforschung,European Organization for Nuclear Research,CERN,CERN,"Leads accelerator research; operates the Large Hadron Collider (LHC), SPS, and PS.",<to be translated>,,,"","",CH,Genf,46.20222,6.14569,http://home.web.cern.ch/,http://home.web.cern.ch/,https://ror.org/01ggx4157,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,
cfel,community,,partial,"g/organization/research-institution,g/organization/formal-organization",true,true,false,false,false,"hgf,university,mpg",Center for Free-Electron Laser Science,Center for Free-Electron Laser Science,CFEL,CFEL,Advances plasma and FEL accelerator science; hosts LUX and state-of-the-art laser labs.,<to be translated>,,,"","",DE,Hamburg,53.55073,9.99302,https://www.cfel.de/,https://www.cfel.de/,https://ror.org/04fme8709,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,15,6,9,0,0,0,0,5,5,5,6,6,0,01: preparation,,
cfel/ufox,cfel,cfel,partial,g/organization/formal-organization/department,false,false,false,false,true,"hgf,university,mpg",Gruppe: Ultrafast Optics and X-rays,Group: Ultrafast Optics and X-rays,UFOX,UFOX,<to be set>,<to be translated>,,,"","",,,,,https://ufox.cfel.de/,https://ufox.cfel.de/,,1,1,,1,1,,1,1,,1,1,1,1,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,5,5,15,5,6,9,0,0,0,0,15,6,9,0,0,0,0,5,5,5,6,6,0,01: preparation,,kärtner.franz-x.
cfel/ufox/dla,cfel/ufox,cfel,full,g/organization/working-group,false,false,false,true,false,"hgf,university,mpg",Team: Dielectric Laser Acceleration,Team: Dielectric Laser Acceleration,UFOX-DLA,UFOX-DLA,<to be set>,<to be translated>,,,"","",,,,,https://ufox.cfel.de/research/dielectric_laser_accelerators/,https://ufox.cfel.de/research/dielectric_laser_accelerators/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,kärtner.franz-x.
cfel/ufox/th,cfel/ufox,cfel,full,g/organization/working-group,false,false,false,true,false,"hgf,university,mpg",Team: Terahertz Acceleration Team,Team: Terahertz Acceleration,UFOX-THz,UFOX-THz,<to be set>,<to be translated>,,,"","",,,,,https://ufox.cfel.de/research/terahertz_acceleration/,https://ufox.cfel.de/research/terahertz_acceleration/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,01: preparation,,kärtner.franz-x.
desy,community,,partial,"g/organization/research-institution,g/organization/formal-organization",true,true,false,false,false,hgf,Deutsches Elektronen-Synchrotron DESY,Deutsches Elektronen-Synchrotron DESY,DESY,DESY,"Pioneers high-intensity accelerators; operates PETRA III, FLASH, SINBAD, and hosts European XFEL.",<to be translated>,,,"","",DE,Hamburg,53.55073,9.99302,http://www.desy.de/index_eng.html,http://www.desy.de/index_eng.html,https://ror.org/01js2sh04,0,0,,0,0,,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,9,0,8,2,5,24,0,0,7,17,0,01: preparation,,
desy/m,desy,desy,full,g/organization/formal-organization/department,false,false,false,false,true,hgf,Bereich: Beschleuniger,Division: Accelerators,DESY-M,DESY-M,<to be set>,<to be translated>,,,"","",,,,,https://www.desy.de/forschung/beschleuniger/index_ger.html,https://www.desy.de/forschung/beschleuniger/index_ger.html,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,9,0,8,2,5,24,0,0,7,17,0,02: prereview request,,leemans.wim
desy/m/mdi,desy/m,desy,full,g/organization/working-group,false,false,false,true,false,hgf,Gruppe: Diagnose und Instrumentierung,Group: Diagnostics and Instrumentation Group,DESY-MDI,DESY-MDI,<to be set>,<to be translated>,,,Kay Wittenburg,"",,,,,https://mdi.desy.de/,https://mdi.desy.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02: prereview request,,leemans.wim
desy/m/mea,desy/m,desy,full,g/organization/working-group,false,false,false,true,false,hgf,Gruppe: Maschinen- und Experimenteaufbau,Group: Machine and experiment set-up,DESY-MEA,DESY-MEA,<to be set>,<to be translated>,,,Markus Körfer,"",,,,,https://mea.desy.de/,https://mea.desy.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02: prereview request,,leemans.wim
desy/m/mfl,desy/m,desy,full,g/organization/working-group,false,false,false,true,false,hgf,Gruppe: FLASH,Group: FLASH,DESY-MFL,DESY-MFL,<to be set>,<to be translated>,,,Mathias Vogt,"",,,,,https://flash.desy.de/,https://flash.desy.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02: prereview request,,leemans.wim
desy/m/mhf,desy/m,desy,full,g/organization/working-group,false,false,false,true,false,hgf,Gruppe: Hochfrequenztechnik,Group: High-frequency technology,DESY-MHF,DESY-MHF,<to be set>,<to be translated>,,,Christos Christou,"",,,,,https://mhf.desy.de/,https://mhf.desy.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02: prereview request,,leemans.wim
desy/m/min,desy/m,desy,full,g/organization/working-group,false,false,false,true,false,hgf,Gruppe: Injektion,Group: Injection,DESY-MIN,DESY-MIN,<to be set>,<to be translated>,,,Heiko Ehrlichmann,"",,,,,https://min.desy.de/,https://min.desy.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02: prereview request,,leemans.wim
desy/m/mkk,desy/m,desy,full,g/organization/working-group,false,false,false,true,false,hgf,"Gruppe: Kraft, Kühlung, Klima","Group: Power, Cooling, Climate",DESY-MKK,DESY-MKK,<to be set>,<to be translated>,,,Nadja von Neuhoff,"",,,,,https://mkk.desy.de/,https://mkk.desy.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02: prereview request,,leemans.wim
desy/m/mks,desy/m,desy,full,g/organization/working-group,false,false,false,true,false,hgf,"Gruppe: Kryogenik, Supraleitung","Group: Cryogenics, superconductivity",DESY-MKS,DESY-MKS,<to be set>,<to be translated>,,,T. Schnautz,"",,,,,https://mks.desy.de/,https://mks.desy.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02: prereview request,,leemans.wim
desy/m/mls,desy/m,desy,full,g/organization/working-group,false,false,false,true,false,hgf,Gruppe: Laser für Plasmabeschleuniger,Group: Lasers for plasma accelerators,DESY-MLS,DESY-MLS,<to be set>,<to be translated>,,,Andreas Maier,"",,,,,https://mpl.desy.de/,https://mpl.desy.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02: prereview request,,leemans.wim
desy/m/mpl,desy/m,desy,full,g/organization/working-group,false,false,false,true,false,hgf,Gruppe: Plasmabeschleuniger,Group: Plasma accelerators,DESY-MPL,DESY-MPA,<to be set>,<to be translated>,,,Andreas Maier,"",,,,,https://mpl.desy.de/,https://mpl.desy.de/,,,,,,,,,,,,,9,,,,,,,,,,,,,,,,4,,4,,,,,,,2,,,,,,,,,1,,4,,,,,,,7,17,0,24,0,24,0,0,9,0,8,2,5,24,0,9,0,8,2,5,24,0,0,7,17,0,02: prereview request,,leemans.wim
desy/m/mpc,desy/m,desy,full,g/organization/working-group,false,false,false,true,false,hgf,Gruppe: Stromrichter,Group: Power converters,DESY-MPC,DESY-MPC,<to be set>,<to be translated>,,,Hans-Jörg Eckoldt,"",,,,,https://mpc.desy.de/,https://mpc.desy.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02: prereview request,,leemans.wim
desy/m/mpe,desy/m,desy,full,g/organization/working-group,false,false,false,true,false,hgf,Gruppe: PETRA III,Group: PETRA III,DESY-MPE,DESY-MPE,<to be set>,<to be translated>,,,Rainer Wanzenberg,"",,,,,https://mpe.desy.de/,https://mpe.desy.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02: prereview request,,leemans.wim
desy/m/mps,desy/m,desy,full,g/organization/working-group,false,false,false,true,false,hgf,Gruppe: Personensicherheitssysteme,Group: Personal safety systems,DESY-MPS,DESY-MPS,<to be set>,<to be translated>,,,Michael Dressel,"",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02: prereview request,,leemans.wim
desy/m/mpy,desy/m,desy,full,g/organization/working-group,false,false,false,true,false,hgf,Gruppe: Beschleunigerphysik,Group: Accelerator physics,DESY-MPY,DESY-MPY,<to be set>,<to be translated>,,,Stefan Choroba,"",,,,,https://mpy.desy.de/,https://mpy.desy.de/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,02: prereview request,,leemans.wim
